Mairie;Label VVF;Adresse 1;Adresse 2;Boîte postale;Département;Code postal;Ville;wgs84
MAIRIE DE CHAMBOURCY;2 fleurs;Hôtel de Ville;2 place Charles de Gaulle;;78;78240;CHAMBOURCY;48.8557922, 2.0190459
MAIRIE DE CHEVREUSE;2 fleurs;Hôtel de Ville;5 rue de la Division Leclerc;;78;78460;CHEVREUSE;48.707679, 2.0446522
MAIRIE DE COURBEVOIE;4 fleurs;Hôtel de Ville;Place de l'Hôtel de Ville;;92;92401;COURBEVOIE CEDEX;48.9103547, 2.2892967
MAIRIE DE DEUIL-LA-BARRE;2 fleurs;Hôtel de Ville;36 rue Charles de Gaulle;;95;95170;DEUIL-LA-BARRE;48.9748765, 2.3283182
MAIRIE DE DRANCY;3 fleurs;Hôtel de Ville;Place de l'Hôtel de Ville;;93;93700;DRANCY;48.9344024, 2.4996776
MAIRIE DE FERRIERES-EN-BRIE;1 fleur;Hôtel de Ville;Place Auguste Trézy;;77;77164;FERRIERES-EN-BRIE;48.8210921, 2.7042803
MAIRIE DE FORGES-LES-BAINS;1 fleur;Hôtel de Ville;9 rue du Docteur Babin;;91;91470;FORGES LES BAINS;48.6279366, 2.0987436
MAIRIE DE FRESNES-SUR-MARNE;1 fleur;Hôtel de Ville;2 rue de l'Église;;77;77410;FRESNES SUR MARNE;48.9376321, 2.7415198
MAIRIE DE GENNEVILLIERS;3 fleurs;Hôtel de Ville;177 avenue Gabriel Péri;;92;92230;GENNEVILLIERS;48.9258469, 2.2943438
MAIRIE DE LA CELLE-SAINT-CLOUD;3 fleurs;Hôtel de Ville;8E avenue Charles de Gaulle;;78;78170;LA CELLE-SAINT-CLOUD;48.8486863, 2.1371357
MAIRIE DE LA FERTE-GAUCHER;1 fleur;Hôtel de Ville;1 Place du Général de Gaulle;;77;77320;LA FERTE GAUCHER;48.7814077, 3.3056071
MAIRIE DE LAGNY-SUR-MARNE;3 fleurs;Hôtel de Ville;2 place de l'Hôtel de Ville;;77;77400;LAGNY-SUR-MARNE;48.8776383, 2.7055435
MAIRIE DE LOUVECIENNES;3 fleurs;Hôtel de Ville;30 rue du Général Leclerc;;78;78430;LOUVECIENNES;48.8612073, 2.1157641
MAIRIE DE MALAKOFF;3 fleurs;Hôtel de Ville;1 place du 11 Novembre;;92;92240;MALAKOFF;48.8211267, 2.3014858
MAIRIE DE MORIGNY-CHAMPIGNY;2 fleurs;Hôtel de Ville;8 rue de la Mairie;;91;91150;MORIGNY-CHAMPIGNY;48.4466854, 2.1818082
MAIRIE DE ROSNY-SOUS-BOIS;3 fleurs;Hôtel de Ville;20 rue Rochebrune;;93;93111;ROSNY-SOUS-BOIS CEDEX;48.8721036, 2.4883129
MAIRIE DE SAINT-MAUR-DES-FOSSES;3 fleurs;Hôtel de Ville;Place Charles de Gaulle;;94;94107;SAINT MAUR DES FOSSES CEDEX;48.803446, 2.4854152
MAIRIE DE SAINT-NOM-LA-BRETECHE;1 fleur;Hôtel de Ville;32 rue de la Fontaine des Vaux;;78;78860;SAINT-NOM-LA-BRETECHE;48.8597695, 2.0206929
MAIRIE DE SAINT-PIERRE-DU-PERRAY;1 fleur;Hôtel de Ville;2 avenue des Jasmins;;91;91280;SAINT PIERRE DU PERRAY;48.6131403, 2.4963165
MAIRIE DE SANNOIS;3 fleurs;Hôtel de Ville;Place du Général Leclerc;;95;95110;SANNOIS;49.0049828, 2.2599118
MAIRIE DE SARTROUVILLE;3 fleurs;Hôtel de Ville;Place de l'Hôtel de Ville;BP 275;78;78506;SARTROUVILLE;48.940244, 2.157974
MAIRIE DE VINCENNES;3 fleurs;Hôtel de Ville;53 Bis rue de Fontenay;;94;94304;VINCENNES CEDEX;48.847694, 2.439799
MAIRIE DE VILLEJUIF;1 fleur;Hôtel de Ville;2 esplanade Pierre-Yves Cosnier;;94;94807;VILLEJUIF CEDEX;48.79187, 2.363596
MAIRIE D'ABLIS;2 fleurs;Hôtel de Ville;8 rue de la Mairie;;78;78660;ABLIS;48.517149, 1.8331736
MAIRIE D'AUVERS SUR OISE;1 fleur;Hôtel de Ville;17 rue du Général de Gaulle;;95;95430;AUVERS SUR OISE;49.0705839, 2.1713161
MAIRIE D'ERAGNY-SUR-OISE;2 fleurs;Hôtel de Ville;Place Louis Don Marino;BP 70021 ERAGNY-SUR-OISE;95;95610;ERAGNY-SUR-OISE;49.02458, 2.094985
MAIRIE D'ISSY LES MOULINEAUX;3 fleurs;Hôtel de Ville;47 Rue du Général Leclerc;;92;92131;ISSY LES MOULINEAUX;48.8246398, 2.2749649
MAIRIE DE BOIS-COLOMBES;3 fleurs;Hôtel de Ville;15 rue Charles Duflos;;92;92270;BOIS COLOMBES;48.9143993, 2.2678038
MAIRIE DE BOISSY-L'AILLERIE;2 fleurs;Hôtel de Ville;9 rue de la République;;95;95650;BOISSY L'AILLERIE;49.0768961, 2.029151
MAIRIE DE BOISSY-SAINT-LEGER;3 fleurs;Hôtel de Ville;7 boulevard Léon Révillon;;94;94470;BOISSY-SAINT-LEGER;48.747934, 2.5131473
MAIRIE DE BOUSSY-SAINT-ANTOINE;1 fleur;Hôtel de Ville;5 place des Droits de l'Homme;;91;91800;BOUSSY ST ANTOINE;48.6891076, 2.5297452
MAIRIE DE BRETIGNY-SUR-ORGE;2 fleurs;Hôtel de Ville;44 rue de la Mairie;;91;91220;BRETIGNY SUR ORGE;48.6112535, 2.3059307
MAIRIE DE CHATILLON;3 fleurs;Hôtel de Ville;1 place de la Libération;BP 88;92;92323;CHATILLON CEDEX;48.799848, 2.289655
MAIRIE DE CHAVENAY;2 fleurs;Hôtel de Ville;1 place de l'Eglise;;78;78450;CHAVENAY;48.853793, 1.9866465
MAIRIE DE CHILLY-MAZARIN;3 fleurs;Hôtel de Ville;Place du 8 mai 1945;BP 107;91;91383;CHILLY-MAZARIN CEDEX;48.7018824, 2.3140331
MAIRIE DE CLAMART;2 fleurs;Hôtel de Ville;Place Maurice Gunsbourg;;92;92141;CLAMART CEDEX;48.8002784, 2.262678
MAIRIE DE COMPANS;3 fleurs;Hôtel de Ville;1 rue de la Mairie;;77;77290;COMPANS;48.9937423, 2.66263
MAIRIE DE CROISSY BEAUBOURG;3 fleurs;Hôtel de Ville;30 rue de Paris;;77;77183;CROISSY BEAUBOURG;48.8278965, 2.6596563
MAIRIE DE GREZ-SUR-LOING;2 fleurs;Hôtel de Ville;86 rue Wilson;;77;77880;GREZ SUR LOING;48.3152451, 2.690372
MAIRIE DE JOUY-MAUVOISIN;2 fleurs;Hôtel de Ville;Place de la Mairie;;78;78200;JOUY-MAUVOISIN;48.9746373, 1.6493558
MAIRIE DE LA QUEUE-EN-BRIE;1 fleur;Hôtel de Ville;Place du 18 Juin 1940;;94;94510;LA QUEUE-EN-BRIE;48.7709132, 2.5182144
MAIRIE DE LESIGNY;2 fleurs;Hôtel de Ville;6 rue Villarceau;;77;77150;LESIGNY;48.7444229, 2.6160655
MAIRIE DE LIMOURS-EN-HUREPOIX;2 fleurs;Hôtel de Ville;Place du Général de Gaulle;;91;91470;LIMOURS EN HUREPOIX;48.6460171, 2.0762799
MAIRIE DE MANDRES-LES-ROSES;1 fleur;Hôtel de Ville;4 rue du Général Leclerc;;94;94520;MANDRES LES ROSES;48.701506, 2.5419162
MAIRIE DE MILLY-LA-FORET;1 fleur;Hôtel de Ville;Place de la République;;91;91490;MILLY-LA-FORET;48.4031739, 2.4673194
MAIRIE DE PARAY-VIEILLE-POSTE;3 fleurs;Hôtel de Ville;8 place Henri Barbusse;;91;91550;PARAY VIEILLE POSTE;48.7126961, 2.3636759
MAIRIE DE PUTEAUX;3 fleurs;Hôtel de Ville;131 rue de la République;;92;92800;PUTEAUX;48.8844636, 2.2380969
MAIRIE DE RAMBOUILLET;3 fleurs;Hôtel de Ville;1 Place de la Libération;;78;78514;RAMBOUILLET CEDEX;48.6449451, 1.8194238
MAIRIE DE SAINT-MARD;1 fleur;Hôtel de Ville;Rue de la Mairie;;77;77230;SAINT MARD;49.03702, 2.694859
MAIRIE DE SAINT-PIERRE-LES-NEMOURS;1 fleur;Hôtel de Ville;7 Chemin de la Messe;;77;77140;SAINT PIERRE LES NEMOURS;48.2633049, 2.6845816
MAIRIE DE SCEAUX;2 fleurs;Hôtel de Ville;122 rue Houdan;;92;92330;SCEAUX;48.7791971, 2.2885144
MAIRIE DE VARENNES-SUR-SEINE;2 fleurs;Hôtel de Ville;Grande Rue;;77;77130;VARENNES SUR SEINE;48.3736248, 2.9214992
MAIRIE DE VELIZY-VILLACOUBLAY;4 fleurs;Hôtel de Ville;2 place de l'Hôtel de Ville;BP 151;78;78145;VELIZY VILLACOUBLAY;48.7828503, 2.191159
MAIRIE DE VILLE D'AVRAY;1 fleur;Hôtel de Ville;13 route de Saint-Cloud;;92;92410;VILLE D'AVRAY;48.8253897, 2.1818772
MAIRIE DE VILLETANEUSE;3 fleurs;Hôtel de Ville;Place de l'Hôtel de ville;;93;93430;VILLETANEUSE;48.9614722, 2.3438328
MAIRIE DE VILLIERS-SAINT-FREDERIC;1 fleur;Hôtel de Ville;2 rue Charles de Gaulle;;78;78640;VILLIERS SAINT FREDERIC;48.8197181, 1.8917922
MAIRIE DE YERRES;3 fleurs;Hôtel de Ville;60 rue Charles de Gaulle;;91;91330;YERRES;48.7169596, 2.4900921
MAIRIE DES ULIS;3 fleurs;Hôtel de Ville;Rue du Morvan BP 1011;;91;91940;LES ULIS;48.6792779, 2.16647
MAIRIE DU PLESSIS-ROBINSON;4 fleurs;Hôtel de Ville;3 place de la Mairie;;92;92350;LE PLESSIS-ROBINSON;48.7823665, 2.2618003
MAIRIE D'ANDRESY;2 fleurs;Hôtel de Ville;4 Boulevard Noël Marc;;78;78570;ANDRESY;48.982059, 2.0614804
MAIRIE D'AUBERGENVILLE;2 fleurs;Hôtel de Ville;1 Avenue de la Division Leclerc;;78;78416;AUBERGENVILLE CEDEX;48.9589606, 1.8551532
MAIRIE D'EPINAY-SOUS-SENART;1 fleur;Hôtel de Ville;8 route Sainte Geneviève;;91;91860;EPINAY SOUS SENART;48.6946562, 2.5148512
MAIRIE DE BAGNEAUX-SUR-LOING;2 fleurs;Hôtel de Ville;Place de l'Hôtel de Ville;;77;77167;BAGNEAUX SUR LOING;48.2308434, 2.7060266
MAIRIE DE BOURG-LA-REINE;3 fleurs;Hôtel de Ville;6 boulevard Carnot;;92;92340;BOURG LA REINE;48.7788678, 2.315958
MAIRIE DE BRIE-COMTE-ROBERT;3 fleurs;Hôtel de Ville;2 rue de Verdun;;77;77170;BRIE COMTE ROBERT CEDEX;48.6943638, 2.6115823
MAIRIE DE CHAMPLAN;2 fleurs;Hôtel de Ville;Place de la Mairie;;91;91160;CHAMPLAN;48.7085231, 2.2742397
MAIRIE DE CHARNY;2 fleurs;Hôtel de Ville;1 rue de l'Église;;77;77410;CHARNY;48.9709591, 2.7609522
MAIRIE DE CONFLANS-SAINTE-HONORINE;1 fleur;Hôtel de Ville;63 rue Maurice Berteaux;;78;78703;CONFLANS SAINTE HONORINE;48.9937504, 2.0947198
MAIRIE DE CORBEIL-ESSONNES;3 fleurs;Hôtel de Ville;2 place Galignani;;91;91100;CORBEIL ESSONNES;48.6139553, 2.4817776
MAIRIE DE COULOMMIERS;3 fleurs;Hôtel de Ville;13 rue du Général de Gaulle;;77;77120;COULOMMIERS;48.811993, 3.085012
MAIRIE DE COURCOURONNES;3 fleurs;Hôtel de Ville;2 rue Paul Puech;;91;91080;COURCOURONNES;48.6173884, 2.4081245
MAIRIE DE FAREMOUTIERS;2 fleurs;Hôtel de Ville;Avenue Victor Massoul;;77;77515;FAREMOUTIERS;48.8032826, 3.0011501
MAIRIE DE GRISY-LES-PLATRES;1 fleur;Hôtel de Ville;10 rue Robert Machy;;95;95810;GRISY-LES-PLATRES;49.1308155, 2.0505105
MAIRIE DE HOUILLES;2 fleurs;Hôtel de Ville;16 rue Gambetta;;78;78805;HOUILLES;48.9231927, 2.186706
MAIRIE DE LINAS;2 fleurs;Hôtel de Ville;Place Ernest Pillon;;91;91310;LINAS;48.6313611, 2.2665352
MAIRIE DE MONTALET-LE-BOIS;1 fleur;Hôtel de Ville;2 rue de l'Eglise;;78;78440;MONTALET-LE-BOIS;49.0459622, 1.8256458
MAIRIE DE MONTFERMEIL;1 fleur;Hôtel de Ville;7/11 place Jean Mermoz;;93;93370;MONTFERMEIL;48.9019969, 2.571692
MAIRIE DE MONTRY;1 fleur;Hôtel de Ville;25 avenue de la Mairie;;77;77450;MONTRY;48.8877533, 2.828409
MAIRIE DE PIERREFITTE-SUR-SEINE;2 fleurs;Hôtel de Ville;2 place de la Libération;;93;93380;PIERREFITTE SUR SEINE;48.9633994, 2.3591007
MAIRIE DE REBAIS;1 fleur;Hôtel de Ville;2 rue de l' Hôtel de Ville;;77;77510;REBAIS;48.8462331, 3.2318774
MAIRIE DE ROISSY-EN-FRANCE;2 fleurs;Hôtel de Ville;40 avenue Charles de Gaulle;;95;95700;ROISSY EN FRANCE;49.0032362, 2.5184313
MAIRIE DE RUNGIS;4 fleurs;Hôtel de Ville;5 rue Sainte-Geneviève;;94;94150;RUNGIS;48.748531, 2.347828
MAIRIE DE SAINT-CLOUD;2 fleurs;Hôtel de Ville;13 place Charles de Gaulle;;92;92210;SAINT CLOUD;48.8438108, 2.219086
MAIRIE DE SAINT-OUEN;2 fleurs;Hôtel de Ville;6 place de la République;;93;93406;SAINT OUEN CEDEX;48.9126201, 2.3328277
MAIRIE DE SEVRAN;2 fleurs;Hôtel de Ville;28 avenue du Général Leclerc;;93;93270;SEVRAN;48.9399746, 2.5266848
MAIRIE DE SOISY SOUS MONTMORENCY;4 fleurs;Hôtel de Ville;2 avenue du Général de Gaulle;;95;95230;SOISY-SOUS-MONTMORENCY;48.9874476, 2.3006723
MAIRIE DE SOUPPES-SUR-LOING;1 fleur;Hôtel de Ville;19 avenue du Maréchal Leclerc;;77;77460;SOUPPES SUR LOING;48.1832689, 2.7357293
MAIRIE DE THOMERY;1 fleur;Hôtel de Ville;9 rue de la République;;77;77810;THOMERY;48.4093467, 2.7846784
MAIRIE DE VAUJOURS;2 fleurs;Hôtel de Ville;20 rue Alexandre Boucher;;93;93410;VAUJOURS;48.9323852, 2.5674014
MAIRIE DE VILLEBON-SUR-YVETTE;3 fleurs;Hôtel de Ville;Place Gérard Nevers;BP 1;91;91141;VILLEBON SUR YVETTE;48.6964029, 2.236654
MAIRIE DE VILLEJUST;1 fleur;Hôtel de Ville;6 rue de la Mairie;;91;91140;VILLEJUST;48.6822567, 2.2365531
MAIRIE DE VILLENEUVE-LA-GARENNE;3 fleurs;Hôtel de Ville;28 avenue de Verdun;;92;92390;VILLENEUVE LA GARENNE;48.935901, 2.3325663
MAIRIE DE VILLIERS-EN-BIERE;1 fleur;Hôtel de Ville;1 rue Cambot;;77;77190;VILLIERS EN BIERE;48.4941555, 2.5987081
MAIRIE DE VILLIERS-LE-BEL;1 fleur;Hôtel de Ville;32 rue de la République;;95;95400;VILLIERS LE BEL;49.0014803, 2.3846182
MAIRIE DU PECQ;3 fleurs;Hôtel de Ville;13 Bis Quai Maurice Berteaux;BP 60;78;78231;LE PECQ CEDEX;48.89715, 2.106812
MAIRIE DE BOBIGNY;2 fleurs;Hôtel de Ville;31 Avenue du Président Salvador-Allende;;93;93009;BOBIGNY CEDEX;48.905018, 2.445616
MAIRIE D'ASNIERES SUR SEINE;1 fleur;Hôtel de Ville;1 Place de l'Hôtel de Ville;B.P. 217;92;92602;ASNIERES-SUR-SEINE CEDEX;48.9108577, 2.2887597
MAIRIE D'EMERAINVILLE;2 fleurs;Hôtel de Ville;16 place de l'Europe;;77;77184;EMERAINVILLE;48.8120365, 2.6213207
MAIRIE D'EPINAY-SUR-ORGE;2 fleurs;Hôtel de Ville;8 rue de l'Eglise;;91;91360;EPINAY SUR ORGE;48.6731975, 2.3240154
MAIRIE D'ETAMPES;2 fleurs;Hôtel de Ville;Place de l'Hôtel de Ville;BP 109;91;91152;ETAMPES CEDEX;48.434471, 2.162037
MAIRIE D'OSNY;2 fleurs;Hôtel de Ville;Rue William Thornley;BP14;95;95520;OSNY;49.0641282, 2.0650952
MAIRIE DE BAGNEUX;3 fleurs;Hôtel de Ville;57 Avenue Henri-Ravera;;92;92220;BAGNEUX;48.79848, 2.3041662
MAIRIE DE CHAVILLE;3 fleurs;Hôtel de Ville;1456 av Roger Salengro;;92;92370;CHAVILLE;48.8097566, 2.1883895
MAIRIE DE GARCHES;3 fleurs;Hôtel de Ville;2 rue Claude Liard;;92;92380;GARCHES;48.8431302, 2.1870953
MAIRIE DE GONESSE;2 fleurs;Hôtel de Ville;66 rue de Paris;BP 10060;95;95503;GONESSE CEDEX;48.9863736, 2.4500325
MAIRIE DE JOINVILLE-LE-PONT;3 fleurs;Hôtel de Ville;23 rue de Paris;B.P. 83;94;94344;JOINVILLE-LE-PONT;48.8182577, 2.4670834
MAIRIE DE LA ROCHETTE;1 fleur;Hôtel de Ville;55 rue Rosa Bonheur;BP 801;77;77012;LA ROCHETTE;48.5206968, 2.6555309
MAIRIE DE LISSES;2 fleurs;Hôtel de Ville;2 rue Thirouin;;91;91090;LISSES;48.5978434, 2.4249823
MAIRIE DE LONGJUMEAU;3 fleurs;Hôtel de Ville;6 bis rue Léontine Sohier;BP 482;91;91164;LONGJUMEAU CEDEX;48.694115, 2.295722
MAIRIE DE MORET-SUR-LOING;2 fleurs;Hôtel de Ville;26 rue Grande;;77;77250;MORET-SUR-LOING;48.373214, 2.816498
MAIRIE DE NEUILLY-PLAISANCE;1 fleur;Hôtel de Ville;6 rue du Général de Gaulle;;93;93360;NEUILLY PLAISANCE;48.8609973, 2.5063705
MAIRIE DE NEUILLY-SUR-SEINE;3 fleurs;Hôtel de Ville;96 avenue Achille Peretti;;92;92200;NEUILLY SUR SEINE;48.8849586, 2.269797
MAIRIE DE PARMAIN;2 fleurs;Hôtel de Ville;2 place Georges Clémenceau;;95;95620;PARMAIN;49.1138561, 2.2092934
MAIRIE DE SAINT-BRICE-SOUS-FORET;1 fleur;Hôtel de Ville;14 rue de Paris;;95;95350;SAINT BRICE SOUS FORET;48.997365, 2.3566594
MAIRIE DE SANTENY;2 fleurs;Hôtel de Ville;Place du Général De Gaulle;;94;94440;SANTENY;48.725774, 2.570136
MAIRIE DE SARCELLES;2 fleurs;Centre administratif;4 place de Navarre;;95;95200;SARCELLES;48.997324, 2.378285
MAIRIE DE TIGERY;2 fleurs;Hôtel de Ville;2 Place Liedekerke-Beaufort;B.P. 24;91;91250;TIGERY;48.639413, 2.5070883
MAIRIE DE VANVES;2 fleurs;Hôtel de Ville;33 rue Antoine Fratacci;;92;92170;VANVES;48.8212024, 2.288556
MAIRIE DE VERSAILLES;3 fleurs;Hôtel de Ville;4 avenue de Paris;RP 1144;78;78011;VERSAILLES CEDEX;48.8011089, 2.1302176
MAIRIE DE VILLEPINTE;3 fleurs;Hôtel de Ville;Place de l'Hôtel de Ville;;93;93420;VILLEPINTE;48.9634987, 2.5344766
MAIRIE DE DOURDAN;3 fleurs;Hôtel de Ville;Esplanade Jean Moulin;BP 10107;91;91415;DOURDAN CEDEX;48.529559, 2.012853
MAIRIE D'EVRY;3 fleurs;Hôtel de Ville;Place des droits de l'homme et du citoyen;;91;91000;EVRY CEDEX;48.624146, 2.428767
MAIRIE D'ACHERES;2 fleurs;Hôtel de Ville;8 rue Deschamps Guérin;;78;78260;ACHERES;48.9606335, 2.0697246
MAIRIE D'ALFORTVILLE;2 fleurs;Hôtel de Ville;Place François Mitterrand;BP 75;94;94140;ALFORTVILLE;48.8054058, 2.4195177
MAIRIE D'ARPAJON;3 fleurs;Hôtel de Ville;70 Grande Rue;;91;91290;ARPAJON;48.5901085, 2.2484479
MAIRIE D'AULNAY SOUS BOIS;4 fleurs;Hôtel de Ville;Place de l'Hôtel de Ville;;93;93600;AULNAY SOUS BOIS;48.9344024, 2.4996776
